rutaImagen,etiqueta,estado,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000031.jpg,pliers,exito,2.7000709102828524,6.557167591023545,8.356229853247777,9.541335384509976,9.999999999437042,9.999723685504213,-9.999999999532832
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000032.jpg,pliers,exito,2.9261815828628035,6.247844491286992,9.28303010038977,9.94114277174267,-9.99999999999553,-9.999961369237608,9.999999999997923
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000033.jpg,pliers,exito,2.686766237613396,6.73659329769696,8.311011806037175,8.900273102496755,-9.999999988327126,9.997852143753295,9.999999998005517
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000034.jpg,pliers,exito,2.669226529913317,5.480486364972304,8.937448032137281,9.586855513982329,9.999999999717494,9.99874699893407,9.99999999999455
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000035.jpg,pliers,exito,2.977473802246075,7.29415798982879,9.926765813768645,9.99663990853551,9.99999999999999,-9.999999312185752,9.999999999999995
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000036.jpg,pliers,exito,2.6084869817961978,6.279233825408171,7.909782578669519,8.976792366289377,9.999999993381158,9.997338440877495,9.999999987482552
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000037.jpg,pliers,exito,2.7118761164621343,5.559414705466262,9.496043675623131,9.940941929547648,9.999999999996435,9.999895168770502,9.999999999999742
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000038.jpg,pliers,exito,2.697533823899439,5.526221719016646,9.593957264176488,9.999404998872295,9.999999999999998,9.999999323301562,-9.999999999999998
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000039.jpg,pliers,exito,2.728473919918152,6.698443677159164,9.132265905500345,9.421816059472077,9.999999999490612,9.999741684378446,-9.999999999977105
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000040.jpg,pliers,exito,3.0709481515293793,6.6176469765744095,9.581435254648474,9.818595689725147,9.999999999979588,9.999900951277345,-9.999999999996907
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000041.jpg,pliers,exito,2.630832767226129,5.902619962035199,8.159039992506315,9.979762001917498,9.999999999997202,-9.999982245065736,-9.999999999997518
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000042.jpg,pliers,exito,3.066910826334701,6.75190729364694,9.905022700967065,9.89541698709836,9.99999999999695,9.999950304696105,9.999999999999954
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000043.jpg,pliers,exito,2.678230045351303,5.988514167067303,8.25234282628386,8.762151485178407,9.999999986167845,9.99294258537666,-9.999999983977535
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000044.jpg,pliers,exito,2.646721063636839,5.904557146697657,8.233508206318412,9.838872334051436,9.999999999998463,-9.999978629966249,-9.999999999900943
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000045.jpg,pliers,exito,2.807511378861719,7.4365216127998615,9.76448818641258,9.943799740080722,9.999999999998572,9.999996339734011,-9.999999999998758
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000046.jpg,pliers,exito,2.95495497955254,6.973940873835348,9.562150850215378,9.99199239727556,9.99999999999994,9.999999953203583,-9.999999999999869
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000047.jpg,pliers,exito,2.66316611623557,9.205649455011155,8.56942691314089,8.98164086092115,9.999999994168771,-9.999909545780323,-9.999999997342023
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000048.jpg,pliers,exito,2.6900777883211435,6.095416000998073,8.525136981819335,9.70450454997798,-9.9999999997859,9.999627884762301,9.999999999932655
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000049.jpg,pliers,exito,2.6405521968248333,5.576382927860747,9.745594860928895,9.78208974722413,9.999999999980533,9.999584857578022,-9.99999999999395
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000050.jpg,pliers,exito,2.9141059632844337,7.761930096784268,9.956580988984328,9.999961997634388,10.0,-9.9999999971679,-10.0
